Ime,Priljubljenost,Cena [£],Vrsta izdelka,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja
Gingham crochet cushions,1,6.75,Cushions,Independent Designer,KATE EASTWOOD,English,1,14,Intermediate
Jellyfish Babies,2,0.00,Toys,Independent Designer,Jade Gauthier-Boutin,English|French,1,14,Beginner
Squishy Baby Octopus,3,0.00,Toys,Independent Designer,Jade Gauthier-Boutin,English|French,1,6,Beginner
Nicky Jacket,4,5.00,Cardigans,Independent Designer,Little Fig,English,1,5,Beginner
Midsummer Crochet Collection Ebook -  Patterns for Women by Paintbox Yarns,5,0.00,Midsummer Crochet Collection Ebook -  Patterns for Women by Paintbox Yarns,Paintbox Yarns,,English,5,41,Intermediate
Oh So Granny Cardigan,6,5.13,Cardigans,Independent Designer,annelies baes,English,1,15,Intermediate
Baby Turtles,7,0.00,Toys,Independent Designer,Jade Gauthier-Boutin,English|French,1,12,Beginner
Vintage granny flower,8,3.21,Cardigans,Independent Designer,Frisian Knitting,English,1,10,Beginner
Oma Goodness Top,9,5.85,Sweaters,Independent Designer,Little Golden Nook,English,1,13,Beginner
Sakura Market Bag,10,0.00,Accessories,Independent Designer,K.A.M.E. Crochet,Dutch|English|French|German,1,33,Intermediate
Crochet Cardigan - Tessa Summer Cardigan,11,3.92,Cardigans,Independent Designer,Esther's Hands,English,1,11,Beginner
Hexagon Cardigan,12,4.00,Cardigans,Independent Designer,Emilia Ansell,English,1,,Intermediate
Crochet Hearts,13,0.00,Crochet Hearts,Independent Designer,Annemarie Benthem,Dutch|English,1,4,Beginner
Daisy Flower Dress,14,1.72,Dresses,Independent Designer,isWoolish,English,1,,Beginner
Snuggle Bunny in Paintbox Yarns Baby DK - Downloadable PDF,15,0.00,Accessories,Paintbox Yarns,Paintbox Yarns,English,1,6,Beginner
Labubu Crochet Pattern,16,3.70,Accessories,Independent Designer,yamina farsi,English,1,15,Intermediate
Loxodonta & Elephas the african flower elephants,17,2.87,Toys,Independent Designer,Annisea,Dutch|English|German,1,15,Intermediate
Mini Whale Crochet Pattern,18,0.00,Toys,Independent Designer,The Crocheting,English,1,2,Beginner
Scarborough Cardigan in Rowan Summerlite DK - Downloadable PDF,19,4.00,Cardigans,Rowan,,English,1,7,Advanced Beginner
Woodlanders - Layette Knitting and Crochet Pattern for Babies in Debbie Bliss Eco Baby Wool by Debbie Bliss,20,3.50,Hats,Debbie Bliss,Debbie Bliss,English,7,25,Intermediate
Amigurumi Stitch! from Lilo and Stitch,21,0.00,Toys,Independent Designer,Sweet N Cute Creations,English,1,14,Beginner
Balletic V Neck Top,22,3.70,Tops,Independent Designer,Chezpascale,English,1,6,Beginner
Criss Cross Baby Blanket in Bernat Alize Blanket-EZ - Downloadable PDF,23,0.00,Blankets,Bernat,,English,1,2,Beginner
Jellyfish crocheted in King Cole Toastie - P9200 - Leaflet,24,2.99,Jellyfish crocheted in King Cole Toastie - P9200 - Leaflet,King Cole,,English,2,4,Beginner
Easy Peasy Crochet Summer Top,25,3.70,Tops,Independent Designer,KnitcroAddict,English,1,5,Beginner
Gerbera Garden Blanket,26,5.18,Blankets,Independent Designer,Louisa,English,,59,Beginner
Cute Octopus in King Cole Toastie - 9199 - Leaflet,27,2.99,Toys,King Cole,,English,1,4,Beginner
Mae's Butterfly Top,28,0.00,Tops,Independent Designer,Mae Crochets,English,1,,Beginner
Perfect Granny Square,29,0.00,Perfect Granny Square,Independent Designer,Yay For Yarn,English,1,6,Beginner
One Row Wonder beanie hat,30,2.75,Hats,Independent Designer,Seasonknits,English,1,3,Intermediate
Blue Ridge Throw,31,5.92,Homeware,Independent Designer,Bonnie Bay Crochet,English,1,7,Intermediate
Easy Peasy Crochet Baby Blanket in Caron One Pound - Downloadable PDF,32,0.00,Blankets,Caron,,English,1,2,Beginner
Dolls in King Cole Big Value DK - P9190 - Leaflet,33,2.99,Toys,King Cole,,English,11,,Intermediate
Highland Cow Door Stop and Draught Excluder in King Cole Big Value Super Chunky - P9100 - Leaflet,34,2.99,Highland Cow Door Stop and Draught Excluder in King Cole Big Value Super Chunky - P9100 - Leaflet,King Cole,,English,2,4,Intermediate
Granny Square Roll Neck and Crew Neck Jumpers in King Cole Big Value Chunky - 6228 - Leaflet,35,2.99,Granny squares,King Cole,,English,2,6,Intermediate
Leaf Garland,36,0.00,Accessories,Independent Designer,Little Conkers,English,1,8,Intermediate
Granny Stitch Daisies Cardigan,37,2.88,Sweaters,Independent Designer,by.Daisy.Dots,Dutch|English,1,17,Beginner
Flower sweater Daisy,38,2.96,Tops,Independent Designer,Frisian Knitting,English,1,,Intermediate
Colourful Mini Dino,39,0.00,Toys,Independent Designer,Handmade by Ani,English,1,8,Beginner
V neck summer blouse,40,3.70,Tops,Independent Designer,KnitcroAddict,English,1,8,Beginner
Bluey,41,3.70,Toys,Independent Designer,My First Buddies,English,1,9,Intermediate
Topaz Tee,42,5.55,Tops,Independent Designer,Two of Wands,English,1,8,Beginner
Cardigans in King Cole Merino Blend DK  - 5943 - Leaflet,43,2.99,Cardigans,King Cole,King Cole,English,2,6,Beginner
Bergen Bottle Cozy in Lion Brand Heartland - M23057 HL - Downloadable PDF,44,0.00,Accessories,Lion Brand,Lion Brand,English,1,5,Beginner
Blankets 6234 in King Cole Warm and Toastie - Leaflet,45,2.99,Blankets 6234 in King Cole Warm and Toastie - Leaflet,King Cole,,English,2,6,Intermediate
Midwife in a Square,46,3.70,Homeware,Independent Designer,Poplar Pattern Company,English,1,,Beginner
Granny Spike Cardigan,47,4.50,Cardigans,Independent Designer,Emilia Ansell,English,1,,Intermediate
Bear Necessities Set - Layette Knitting and Crochet Pattern for Babies in Debbie Bliss Baby Cashmerino by Debbie Bliss,48,3.50,Hats,Debbie Bliss,Debbie Bliss,English,5,17,Intermediate
"Winnie the Pooh Crochet Pattern,Free Crochet Pattern Pooh, Pooh Crochet Pattern Free,Amigurumi Pattern,Pooh Amigurumi",49,0.00,Amigurumi,Independent Designer,Kathy Leung,English,1,5,Beginner
Crocheted Cows in King Cole Big Value DK 50g - 9155 - Leaflet,50,0.00,Toys,King Cole,King Cole,English,3,6,Intermediate
George the Gingerbread Boy in Stylecraft Special Chunky - 505 - Leaflet,51,0.00,Toys,Stylecraft,Wee Woolly Wonderfuls,English,1,8,Intermediate
