Ime,Priljubljenost,Cena [£],Vrsta izdelka,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja
Gingham crochet cushions,1,6.75,Cushions,Independent Designer,KATE EASTWOOD,English,1,14,Intermediate
Jellyfish Babies,2,0.00,Toys,Independent Designer,Jade Gauthier-Boutin,English|French,1,14,Beginner
Squishy Baby Octopus,3,0.00,Toys,Independent Designer,Jade Gauthier-Boutin,English|French,1,6,Beginner
Nicky Jacket,4,5.00,Cardigans,Independent Designer,Little Fig,English,1,5,Beginner
Midsummer Crochet Collection Ebook -  Patterns for Women by Paintbox Yarns,5,0.00,Midsummer Crochet Collection Ebook -  Patterns for Women by Paintbox Yarns,Paintbox Yarns,,English,5,41,Intermediate
Oh So Granny Cardigan,6,5.20,Cardigans,Independent Designer,annelies baes,English,1,15,Intermediate
Baby Turtles,7,0.00,Toys,Independent Designer,Jade Gauthier-Boutin,English|French,1,12,Beginner
Vintage granny flower,8,3.23,Cardigans,Independent Designer,Frisian Knitting,English,1,10,Beginner
Oma Goodness Top,9,5.89,Sweaters,Independent Designer,Little Golden Nook,English,1,13,Beginner
Sakura Market Bag,10,0.00,Accessories,Independent Designer,K.A.M.E. Crochet,Dutch|English|French|German,1,33,Intermediate
Crochet Cardigan - Tessa Summer Cardigan,11,3.95,Cardigans,Independent Designer,Esther's Hands,English,1,11,Beginner
Hexagon Cardigan,12,4.00,Cardigans,Independent Designer,Emilia Ansell,English,1,,Intermediate
Crochet Hearts,13,0.00,Crochet Hearts,Independent Designer,Annemarie Benthem,Dutch|English,1,4,Beginner
Daisy Flower Dress,14,1.75,Dresses,Independent Designer,isWoolish,English,1,,Beginner
Snuggle Bunny in Paintbox Yarns Baby DK - Downloadable PDF,15,0.00,Accessories,Paintbox Yarns,Paintbox Yarns,English,1,6,Beginner
Loxodonta & Elephas the african flower elephants,16,2.91,Toys,Independent Designer,Annisea,Dutch|English|German,1,15,Intermediate
Mini Whale Crochet Pattern,17,0.00,Toys,Independent Designer,The Crocheting,English,1,2,Beginner
Scarborough Cardigan in Rowan Summerlite DK - Downloadable PDF,18,4.00,Cardigans,Rowan,,English,1,7,Advanced Beginner
Woodlanders - Layette Knitting and Crochet Pattern for Babies in Debbie Bliss Eco Baby Wool by Debbie Bliss,19,3.50,Hats,Debbie Bliss,Debbie Bliss,English,7,25,Intermediate
Amigurumi Stitch! from Lilo and Stitch,20,0.00,Toys,Independent Designer,Sweet N Cute Creations,English,1,14,Beginner
Balletic V Neck Top,21,3.73,Tops,Independent Designer,Chezpascale,English,1,6,Beginner
Criss Cross Baby Blanket in Bernat Alize Blanket-EZ - Downloadable PDF,22,0.00,Blankets,Bernat,,English,1,2,Beginner
Jellyfish crocheted in King Cole Toastie - P9200 - Leaflet,23,2.99,Jellyfish crocheted in King Cole Toastie - P9200 - Leaflet,King Cole,,English,2,4,Beginner
Easy Peasy Crochet Summer Top,24,3.73,Tops,Independent Designer,KnitcroAddict,English,1,5,Beginner
Gerbera Garden Blanket,25,5.22,Blankets,Independent Designer,Louisa,English,,59,Beginner
Cute Octopus in King Cole Toastie - 9199 - Leaflet,26,2.99,Toys,King Cole,,English,1,4,Beginner
Mae's Butterfly Top,27,0.00,Tops,Independent Designer,Mae Crochets,English,1,,Beginner
Perfect Granny Square,28,0.00,Perfect Granny Square,Independent Designer,Yay For Yarn,English,1,6,Beginner
One Row Wonder beanie hat,29,2.75,Hats,Independent Designer,Seasonknits,English,1,3,Intermediate
Blue Ridge Throw,30,5.96,Homeware,Independent Designer,Bonnie Bay Crochet,English,1,7,Intermediate
Easy Peasy Crochet Baby Blanket in Caron One Pound - Downloadable PDF,31,0.00,Blankets,Caron,,English,1,2,Beginner
Dolls in King Cole Big Value DK - P9190 - Leaflet,32,2.99,Toys,King Cole,,English,11,,Intermediate
Granny Square Roll Neck and Crew Neck Jumpers in King Cole Big Value Chunky - 6228 - Leaflet,33,2.99,Granny squares,King Cole,,English,2,6,Intermediate
Leaf Garland,34,0.00,Accessories,Independent Designer,Little Conkers,English,1,8,Intermediate
Granny Stitch Daisies Cardigan,35,2.90,Sweaters,Independent Designer,by.Daisy.Dots,Dutch|English,1,17,Beginner
Flower sweater Daisy,36,2.98,Tops,Independent Designer,Frisian Knitting,English,1,,Intermediate
Colourful Mini Dino,37,0.00,Toys,Independent Designer,Handmade by Ani,English,1,8,Beginner
V neck summer blouse,38,3.73,Tops,Independent Designer,KnitcroAddict,English,1,8,Beginner
Bluey,39,2.69,Toys,Independent Designer,My First Buddies,English,1,9,Intermediate
Topaz Tee,40,5.60,Tops,Independent Designer,Two of Wands,English,1,8,Beginner
Cardigans in King Cole Merino Blend DK  - 5943 - Leaflet,41,2.99,Cardigans,King Cole,King Cole,English,2,6,Beginner
Bergen Bottle Cozy in Lion Brand Heartland - M23057 HL - Downloadable PDF,42,0.00,Accessories,Lion Brand,Lion Brand,English,1,5,Beginner
Blankets 6234 in King Cole Warm and Toastie - Leaflet,43,2.99,Blankets 6234 in King Cole Warm and Toastie - Leaflet,King Cole,,English,2,6,Intermediate
Midwife in a Square,44,3.73,Homeware,Independent Designer,Poplar Pattern Company,English,1,,Beginner
Granny Spike Cardigan,45,4.50,Cardigans,Independent Designer,Emilia Ansell,English,1,,Intermediate
Bear Necessities Set - Layette Knitting and Crochet Pattern for Babies in Debbie Bliss Baby Cashmerino by Debbie Bliss,46,3.50,Hats,Debbie Bliss,Debbie Bliss,English,5,17,Intermediate
"Winnie the Pooh Crochet Pattern,Free Crochet Pattern Pooh, Pooh Crochet Pattern Free,Amigurumi Pattern,Pooh Amigurumi",47,0.00,Amigurumi,Independent Designer,Kathy Leung,English,1,5,Beginner
Crocheted Cows in King Cole Big Value DK 50g - 9155 - Leaflet,48,0.00,Toys,King Cole,King Cole,English,3,6,Intermediate
That's Meshed Up Top,49,0.00,Tops,Independent Designer,Vikki Bruff,English,1,5,Beginner
Cosy Hexi Cardi,50,4.80,Cardigans,Independent Designer,BabyCrochetDesigns,English,1,13,Intermediate
Essential String Shopping Bag - Free Crochet Pattern in Paintbox Yarns Recycled Cotton Worsted,51,0.00,Essential String Shopping Bag - Free Crochet Pattern in Paintbox Yarns Recycled Cotton Worsted,Paintbox Yarns,,English,3,4,Beginner
Flaminia top,52,0.00,Tops,Independent Designer,lemaninelabcrochet,English|Italian,1,14,Beginner
